S.NO,Unnamed: 0,Plugin,CVE,CVSS V3 Vector,Severity,IP Address,Protocol,Port,Plugin Name,Synopsis,Description,Solution,See Also,MAC Address,Exploit?,DNS Name,NetBIOS Name,Risk Factor,CVSS V2 Base Score,CVSS V3 Base Score,CVSS V2 Temporal Score,Vuln Publication Date,Patch Publication Date,Plugin Publication Date,Exploit Ease,Plugin Modification Date,Exploit Frameworks,Check Type,Version,Lab name,BU
0,0,10107,,,Info,172.168.20.10,TCP,80,HTTP Server Type and Version,A web server is running on the remote host.,This plugin attempts to determine the type and the version of the   remote web server.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Jan 4, 2000 12:00:00 IST",,"Oct 30, 2020 12:00:00 IST",,remote,1.141,Lab1,BU1
1,1,10107,,,Info,172.168.20.10,TCP,7080,HTTP Server Type and Version,A web server is running on the remote host.,This plugin attempts to determine the type and the version of the   remote web server.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Jan 4, 2000 12:00:00 IST",,"Oct 30, 2020 12:00:00 IST",,remote,1.141,Lab1,BU1
2,2,10107,,,Info,172.168.20.10,TCP,8088,HTTP Server Type and Version,A web server is running on the remote host.,This plugin attempts to determine the type and the version of the   remote web server.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Jan 4, 2000 12:00:00 IST",,"Oct 30, 2020 12:00:00 IST",,remote,1.141,Lab1,BU1
3,3,10107,,,Info,172.168.20.10,TCP,9090,HTTP Server Type and Version,A web server is running on the remote host.,This plugin attempts to determine the type and the version of the   remote web server.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Jan 4, 2000 12:00:00 IST",,"Oct 30, 2020 12:00:00 IST",,remote,1.141,Lab1,BU1
4,4,10107,,,Info,172.168.20.10,TCP,10080,HTTP Server Type and Version,A web server is running on the remote host.,This plugin attempts to determine the type and the version of the   remote web server.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Jan 4, 2000 12:00:00 IST",,"Oct 30, 2020 12:00:00 IST",,remote,1.141,Lab1,BU1
5,5,10114,CVE-1999-0524,,Low,172.168.20.10,ICMP,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an attacker to know the date that is set on the targeted machine, which may assist an unauthenticated, remote attacker in defeating time-based authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 / 2008 R2 are deliberately incorrect, but usually within 1000 seconds of the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP timestamp replies (14).",,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,Low,2.1,,,"Aug 1, 1997 12:00:00 IST",,"Aug 1, 1999 12:00:00 IST",,"Oct 7, 2024 12:00:00 IST",,remote,1.56,Lab1,BU1
6,6,10144,,,Info,172.168.20.10,TCP,1433,Microsoft SQL Server TCP/IP Listener Detection,A database server is listening on the remote port.,"The remote host is running MSSQL, a database server from Microsoft. It is possible to extract the version number of the remote installation from the server pre-login response.",Restrict access to the database to allowed IPs only.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Oct 12, 1999 12:00:00 IST",,"Jul 29, 2024 12:00:00 IST",,remote,1.62,Lab1,BU1
7,7,10150,,,Info,172.168.20.10,UDP,137,Windows NetBIOS / SMB Remote Host Information Disclosure,It was possible to obtain the network name of the remote host.,"The remote host is listening on UDP port 137 or TCP port 445, and replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins, but does not itself generate a report.",,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Oct 12, 1999 12:00:00 IST",,"Feb 10, 2021 12:00:00 IST",,remote,1.91,Lab1,BU1
8,8,10287,,,Info,172.168.20.10,UDP,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Nov 27, 1999 12:00:00 IST",,"Dec 4, 2023 12:00:00 IST",,remote,1.71,Lab1,BU1
9,9,10302,,,Info,172.168.20.10,TCP,9090,Web Server robots.txt Information Disclosure,The remote web server contains a 'robots.txt' file.,The remote host contains a file named 'robots.txt' that is intended to prevent web 'robots' from visiting certain directories in a website for maintenance or indexing purposes.  A malicious user may also be able to use the contents of this file to learn of sensitive documents or directories on the affected site and either retrieve them directly or target them for other attacks.,"Review the contents of the site's robots.txt file, use Robots META tags instead of entries in the robots.txt file, and/or adjust the web server's access controls to limit access to sensitive material.",http://www.robotstxt.org/orig.html,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Oct 12, 1999 12:00:00 IST",,"Nov 15, 2018 12:00:00 IST",,remote,1.41,Lab1,BU1
10,10,10386,,,Info,172.168.20.10,TCP,81,Web Server No 404 Error Code Check,The remote web server does not return 404 error codes.,"The remote web server is configured such that it does not return '404 Not Found' error codes when a nonexistent file is requested, perhaps returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they might be insufficient.  If a great number of security holes are produced for this port, they might not all be accurate.",,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Apr 28, 2000 12:00:00 IST",,"Jun 17, 2022 12:00:00 IST",,remote,1.1,Lab1,BU1
11,11,10736,,,Info,172.168.20.10,TCP,135,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
12,12,10736,,,Info,172.168.20.10,TCP,445,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
